date,margin_total,margin_kospi,margin_kosdaq,deposit,margin_dep,margin_mcap,margin_val,misu,bandae_amt,bandae_ratio,bandae_amt_ma,bandae_ratio_ma,kospi_idx,kosdaq_idx,kospi_dd,rv20,turn_val,turn_heat,pctl_margin_total,composite_score,etf_nav
20040409,0.218428,0.169458,0.04897,10.1939,2.14,0.05,0.08,0.630959,0.0,0.0,0.0,0.0,905.44,457.92,-1.25,20.7,2.766017,0.63,53.9,35.2,
20040416,0.217466,0.167997,0.049469,10.786772,2.02,0.05,0.05,0.67664,0.0,0.0,0.0,0.0,898.88,454.13,-2.17,18.4,4.730578,1.085,53.4,38.2,
20040423,0.224924,0.174626,0.050298,10.36264,2.17,0.049,0.05,0.673369,0.0,0.0,0.0,0.0,936.06,488.13,0.0,17.4,4.774051,1.048,58.2,44.8,
20040430,0.220896,0.171324,0.049572,10.386632,2.13,0.053,0.05,0.793925,0.0,0.0,0.0,0.0,862.84,453.47,-7.82,22.4,4.496679,1.07,55.5,41.2,
20040507,0.22809,0.177214,0.050876,9.439172,2.42,0.056,0.06,0.643984,0.0,0.0,0.0,0.0,838.74,436.25,-10.4,23.2,3.799972,0.93,63.3,50.0,
20040514,0.218689,0.171003,0.047686,9.459002,2.31,0.058,0.06,0.631617,0.0,0.0,0.0,0.0,768.46,404.93,-17.9,34.3,3.910634,1.043,52.8,47.5,
20040521,0.208748,0.163112,0.045636,8.88551,2.35,0.055,0.08,0.541905,0.0,0.0,0.0,0.0,786.36,393.01,-15.99,43.5,2.537654,0.667,48.0,44.3,
20040528,0.201096,0.156641,0.044455,8.674555,2.32,0.051,0.07,0.539107,0.0,0.0,0.0,0.0,816.51,401.59,-12.77,45.9,3.069742,0.779,43.1,43.4,
20040604,0.19947,0.15478,0.04469,8.836913,2.26,0.053,0.07,0.495177,0.0,0.0,0.0,0.0,780.74,397.85,-16.59,46.8,2.708342,0.716,42.6,44.8,
20040611,0.18981,0.146631,0.043179,8.913741,2.13,0.052,0.06,0.533821,0.0,0.0,0.0,0.0,751.53,387.76,-19.71,43.8,3.261009,0.895,39.4,42.9,
20040618,0.180284,0.139538,0.040746,8.364191,2.16,0.05,0.08,0.491401,0.0,0.0,0.0,0.0,741.73,370.2,-20.76,35.6,2.286008,0.636,35.7,38.4,
20040625,0.170734,0.132712,0.038022,8.320671,2.05,0.045,0.06,0.445843,0.0,0.0,0.0,0.0,779.03,371.94,-16.78,34.8,2.849111,0.758,29.2,37.2,
20040702,0.169621,0.131568,0.038053,8.417125,2.02,0.047,0.08,0.431444,0.0,0.0,0.0,0.0,755.42,376.13,-19.3,32.0,2.233674,0.613,28.9,37.0,
20040709,0.164829,0.126598,0.038231,8.166176,2.02,0.046,0.08,0.447647,0.0,0.0,0.0,0.0,747.46,370.14,-20.15,25.5,2.116095,0.587,25.4,32.4,
20040716,0.156525,0.120459,0.036066,8.123261,1.93,0.044,0.07,0.514376,0.0,0.0,0.0,0.0,739.39,358.73,-21.01,23.3,2.398614,0.679,19.7,30.7,
20040723,0.145518,0.111226,0.034292,7.874343,1.85,0.04,0.08,0.409231,0.0,0.0,0.0,0.0,737.51,350.2,-21.21,21.7,1.907783,0.526,11.0,27.8,
20040730,0.129898,0.099162,0.030736,7.842231,1.66,0.036,0.07,0.39643,0.0,0.0,0.0,0.0,735.34,331.21,-21.44,19.5,1.885596,0.523,3.8,25.3,
20040806,0.116761,0.088882,0.027879,7.894723,1.48,0.032,0.06,0.359508,0.0,0.0,0.0,0.0,733.95,331.67,-21.59,21.1,1.966741,0.54,0.1,24.7,
20040813,0.112432,0.085236,0.027196,8.202223,1.37,0.029,0.04,0.378569,0.0,0.0,0.0,0.0,776.02,346.09,-17.1,21.3,2.735926,0.712,0.1,25.3,
20040820,0.112982,0.085576,0.027406,8.370753,1.35,0.029,0.06,0.408962,0.0,0.0,0.0,0.0,787.64,350.63,-15.86,18.1,1.758231,0.451,0.6,25.1,
20040827,0.113383,0.085497,0.027886,8.415247,1.35,0.028,0.05,0.380371,0.0,0.0,0.0,0.0,810.3,357.78,-13.44,16.5,2.288334,0.57,1.2,25.1,
20040903,0.113834,0.085621,0.028213,8.436934,1.35,0.028,0.03,0.426004,0.0,0.0,0.0,0.0,820.69,367.53,-12.33,12.7,3.264576,0.802,1.9,26.3,
20040910,0.118637,0.08951,0.029127,8.465159,1.4,0.029,0.04,0.453126,0.0,0.0,0.0,0.0,836.34,370.31,-10.65,13.1,2.918761,0.703,2.9,30.0,
20040917,0.121377,0.090933,0.030444,8.745768,1.39,0.029,0.05,0.536733,0.0,0.0,0.0,0.0,848.11,371.05,-9.4,13.2,2.554064,0.607,3.7,29.5,
20040924,0.126453,0.096609,0.029844,8.768437,1.44,0.031,0.07,0.532816,0.0,0.0,0.0,0.0,832.1,362.25,-11.11,16.6,1.942793,0.471,6.9,30.5,
20041001,0.130469,0.100614,0.029855,8.591694,1.52,0.031,0.06,0.429203,0.0,0.0,0.0,0.0,846.01,365.65,-9.62,16.8,2.276543,0.543,8.4,31.4,
20041008,0.126901,0.097082,0.029819,9.373582,1.35,0.029,0.03,0.518195,0.0,0.0,0.0,0.0,881.38,369.74,-5.84,20.7,3.705573,0.851,7.2,28.3,
20041015,0.140715,0.110995,0.02972,9.008594,1.56,0.034,0.05,0.642377,0.0,0.0,0.0,0.0,841.94,369.28,-10.05,22.0,2.733483,0.655,12.3,35.2,
20041022,0.147937,0.117531,0.030406,8.897046,1.66,0.036,0.07,0.589507,0.0,0.0,0.0,0.0,828.17,359.27,-11.53,25.1,2.141055,0.521,19.0,37.2,
20041029,0.151437,0.120637,0.0308,8.085235,1.87,0.037,0.07,0.504781,0.0,0.0,0.0,0.0,834.84,357.04,-10.81,26.7,2.243339,0.541,22.9,39.3,
20041105,0.152277,0.121407,0.03087,8.294041,1.84,0.036,0.06,0.468699,0.0,0.0,0.0,0.0,860.68,362.7,-8.05,24.1,2.543225,0.596,24.2,34.5,
20041112,0.152081,0.120695,0.031386,8.378664,1.82,0.035,0.05,0.495704,0.0,0.0,0.0,0.0,876.67,368.8,-6.34,24.3,2.904309,0.669,24.4,35.1,
20041119,0.15291,0.120266,0.032644,8.8726,1.72,0.036,0.07,0.518138,0.0,0.0,0.0,0.0,867.03,372.53,-7.37,21.5,2.263958,0.527,25.3,33.0,
20041126,0.162908,0.12893,0.033978,8.60034,1.89,0.038,0.05,0.467823,0.0,0.0,0.0,0.0,858.12,369.54,-8.33,20.2,2.963169,0.696,31.4,39.1,
20041203,0.166972,0.133287,0.033685,8.236465,2.03,0.038,0.06,0.497698,0.0,0.0,0.0,0.0,882.55,378.72,-5.72,19.0,3.02382,0.691,34.8,39.8,
20041210,0.165942,0.13117,0.034772,8.452833,1.96,0.04,0.05,0.521992,0.0,0.0,0.0,0.0,844.85,372.08,-9.74,18.9,3.058942,0.732,34.2,35.8,
20041217,0.167284,0.131217,0.036067,8.128189,2.06,0.039,0.04,0.495662,0.0,0.0,0.0,0.0,875.13,381.44,-6.51,19.7,3.784734,0.874,35.5,38.2,
20041224,0.166381,0.129758,0.036623,8.775186,1.9,0.038,0.06,0.554097,0.0,0.0,0.0,0.0,879.92,375.12,-6.0,16.5,2.631809,0.604,34.8,33.7,
20041230,0.173387,0.135071,0.038316,8.206376,2.11,0.039,0.07,0.497655,0.0,0.0,0.0,0.0,895.92,380.33,-4.29,16.1,2.314055,0.521,39.5,38.9,
20050107,0.172838,0.13204,0.040798,8.735711,1.98,0.04,0.05,0.56217,0.0,0.0,0.0,0.0,870.84,408.17,-6.97,14.9,3.369739,0.774,39.3,36.2,
20050114,0.173938,0.131534,0.042404,9.485455,1.83,0.038,0.04,0.728874,0.0,0.0,0.0,0.0,905.1,428.4,-3.31,13.4,4.346597,0.959,40.3,37.3,
20050121,0.181949,0.134538,0.047411,9.788138,1.86,0.039,0.05,0.826861,0.0,0.0,0.0,0.0,919.61,460.62,-1.76,15.2,3.866076,0.835,46.1,41.4,
